knowledge_point_id,knowledge_point_name,level,observable_behaviors,representative_verbs,example_question,has_mapping
K5,混合式学习设计,L5,能评价混合式学习方案的可行性和一致性；能判断某方案是否真正实现了融合,评价、判断、推荐,“这个方案算是真正的混合式学习，还是仅仅是叠加式？请评价。”,true
K5,混合式学习设计,L6,能创设适合资源受限场景的全新混合模式；能整合多种理论设计创新性混合学习方案,创设、整合、设计,“现有的混合模式好像都不太适合这个场景，你能不能提出一个全新的模式？”,true
K6,翻转课堂设计与实施,L1,能说出翻转课堂的定义；能列举翻转课堂的核心要素,说出、列举、复述,“翻转课堂和传统课堂的区别是什么？”,true
K6,翻转课堂设计与实施,L2,能解释翻转的不是时间而是认知层次；能比较翻转课堂在小学和中学中的适用性差异,解释、比较、推断,“翻转课堂是不是就是把课堂讲授换成视频？”,true
K6,翻转课堂设计与实施,L3,能设计一堂完整的翻转课堂（课前视频+课堂高阶活动）；能选择合适的课堂活动类型,设计、安排、实施,“如果让你翻转一堂在线教育原理课，具体怎么设计课前和课中？”,true
K6,翻转课堂设计与实施,L4,能分析翻转课堂在特定场景不适用的根本原因；能区分翻转课堂与混合式学习的本质差异,分析、区分、归因,“翻转课堂在乡村学校为什么难推行？不只是说网络问题。”,true
K6,翻转课堂设计与实施,L5,能评价翻转课堂在小学阶段的适用性并充分论证,评价、判断、辩护,“有研究说翻转课堂在小学效果不如初中，你怎么评价？”,true
K6,翻转课堂设计与实施,L6,能整合建构主义+翻转理念，创设适合特殊场景的创新教学模式,创设、整合、建构,“如果网络不稳，学生没法在家看视频，你能不能设计一种新的翻转方式？”,true
K7,在线课程开发流程,L1,能列举ADDIE模型的五个阶段；能说出在线课程开发的主要角色,列举、说出、复述,“ADDIE模型包含哪几个阶段？”,true
K7,在线课程开发流程,L2,能解释“目标-活动-评价一致性”的含义；能比较ADDIE与敏捷开发的差异,解释、比较、归纳,“为什么说课程设计要保证目标、活动、评价三者一致？”,true
K7,在线课程开发流程,L3,能制定一个可执行的3个月MOOC开发计划；能撰写可观测的学习目标,制定、规划、实施,“3个月要上线MOOC，你觉得应该先做哪些模块？能不能给个具体的开发计划？”,true
K7,在线课程开发流程,L4,能分析特定团队配置的合理性；能找出课程设计中目标与评价不一致的问题,分析、找出、拆解,“这门课程的目标是理解在线教育理论，但评价全是选择题，能分析一下这个设计的问题吗？”,true
K7,在线课程开发流程,L5,能评价敏捷开发与ADDIE在特定情境下的优劣,评价、判断、推荐,“3个月的开发周期，你会用ADDIE还是敏捷方法？为什么？”,true
K7,在线课程开发流程,L6,,,,false
K8,在线教学交互设计,L1,能说出在线教学交互的三种主要类型；能列举每种类型的代表性设计形式,说出、列举、复述,“在线教学交互有哪几种类型？”,true
K8,在线教学交互设计,L2,能解释“社会临场感”的含义；能比较同步与异步互动的优劣,解释、比较、推断,“为什么说增强社会临场感能提高MOOC完成率？”,true
K8,在线教学交互设计,L3,能为大规模MOOC设计完整的互动方案；能选择适合特定场景的互动工具,设计、选择、运用,“5000人的MOOC，怎么设计有效的同伴互动？”,true
K8,在线教学交互设计,L4,能分析特定互动设计是否真正促进了深度学习；能区分“表面参与”和“深度互动”,分析、区分、归因,“论坛有10000条回复，能说明互动质量高吗？能分析一下什么才是有质量的互动？”,true
K8,在线教学交互设计,L5,能评价游戏化设计在在线教育中的适用性和风险,评价、判断、辩护,“有人说加积分徽章就能提高参与度，你怎么评价这个观点？”,true
K8,在线教学交互设计,L6,,,,false
K9,在线学习支持服务,L1,能说出学习支持服务的四大类型；能列举每类型的代表性活动,说出、列举、复述,“在线学习支持服务有哪些类型？是不是就是客服和答疑？”,true
K9,在线学习支持服务,L2,能解释“主动支持”与“被动支持”的区别；能比较不同供给模式的优劣,解释、比较、归纳,“什么是主动支持？和被动支持有什么本质区别？”,true
K9,在线学习支持服务,L3,能为乡村学校设计可行的支持服务方案；能选择适合大规模课程的支持供给模式,设计、选择、运用,“乡村学校的老师技术能力弱，你怎么设计支持服务帮助他们？”,true
K9,在线学习支持服务,L4,能分析学习者流失与支持服务不足的关系,分析、归因,“这个平台学习者流失率很高，能从支持服务角度分析根本原因吗？”,true
K9,在线学习支持服务,L5,,,,false
K9,在线学习支持服务,L6,,,,false
K10,在线教学评价方法,L1,能说出形成性评价和总结性评价的定义；能列举同伴互评的主要流程步骤,说出、列举、复述,“形成性评价和总结性评价的区别是什么？”,true
K10,在线教学评价方法,L2,能解释“评价-目标一致性”的含义；能比较不同评价方式的优劣,解释、比较、推断,“选择题能评价学生的创造能力吗？为什么？”,true
K10,在线教学评价方法,L3,能设计一套适合在线课程的评价体系；能运用同伴互评解决大规模课程评价,设计、运用、实施,“5000人的MOOC，你会怎么设计评价方案？”,true
K10,在线教学评价方法,L4,能分析Bloom各层级应对应哪种评价任务；能找出目标与评价不一致的问题,分析、找出、归因,“你说课程目标是能分析教学设计的优劣，但期末考试全是选择题，这合理吗？”,true
K10,在线教学评价方法,L5,能评价同伴互评的信度问题及解决方案；能判断特定评价方案的适用性,评价、判断、论证,“有人说同伴互评信度太低，不如直接用AI评价，你怎么评价这个建议？”,true
K10,在线教学评价方法,L6,能创建适合乡村学校实际情况的多元评价方案；能设计既能证明效果又简单可行的指标体系,创建、设计、整合,“怎么设计一套评价体系，能让家长看到孩子在线学习的实际效果？”,true
K11,在线教育质量保证体系,L1,能说出Quality Matters的8个维度名称；能列举常用质量监测指标,说出、列举、复述,“在线教育质量评价有哪些常用指标？就是完成率和满意度吗？”,true
K11,在线教育质量保证体系,L2,能解释QA与QI的本质区别；能推断完成率低的主要原因,解释、推断、比较,“完成率23%说明什么问题？一定是课程质量差吗？”,true
K11,在线教育质量保证体系,L3,能运用QM框架评估一门在线课程；能设计质量诊断的指标体系,运用、设计、制定,“用QM框架来评估我们这门课程，你会怎么操作？”,true
K11,在线教育质量保证体系,L4,能系统分析平台完成率低的三层原因；能拆解质量问题的核心矛盾,分析、拆解、归因,“这个平台完成率23%，满意度3.2，你能做一个系统性的问题归因吗？”,true
K11,在线教育质量保证体系,L5,能评价不同质量标准框架的适用性；能基于证据对改进优先级进行排序论证,评价、判断、论证、推荐,“你提出了6个改进方向，但资源有限不能同时推进，你会怎么排优先级？理由是什么？”,true
K11,在线教育质量保证体系,L6,能创建适合特定平台的定制化质量评价体系；能设计从现状到目标的转型路线图,创建、规划、设计,“如果这个平台要从大众化转型为个性化，你能设计一个完整的转型路线图吗？”,true
K12,在线教育技术与工具,L1,能列举三种常用视频会议工具；能说出LMS的主要功能,列举、说出、识别,“常用的视频会议工具有哪些？”,true
K12,在线教育技术与工具,L2,能解释SAMR模型各层次的含义；能比较不同工具类型的适用场景,解释、比较、归纳,“SAMR模型中的修改和替换有什么本质区别？”,true
K12,在线教育技术与工具,L3,能根据场景选择合适的工具组合；能评估工具选择是否适合学习者技术能力,选择、评估、运用,“这个乡村学校老师技术能力弱，你会推荐哪些工具？为什么？”,true
K12,在线教育技术与工具,L4,能分析工具选择对教学效果的影响；能区分技术增强与技术依赖的差异,分析、区分,“用了很多技术工具，但教学效果没提升，你能分析一下原因吗？”,true
K12,在线教育技术与工具,L5,,,,false
K12,在线教育技术与工具,L6,,,,false
